gregorain_date,gregorian_year,gregorian_month,gregorian_day,is_holiday,event_origin,event_name
1991-03-30 00:00:00,,,,0,۱۰ فروردین,جشن آبانگاه
1991-03-26 00:00:00,,,,0,۶ فروردین,روز امید، روز شادباش نویسی
1991-03-26 00:00:00,,,,0,۶ فروردین,زادروز آشو زرتشت، اَبَراِنسان بزرگ تاریخ
1991-03-24 00:00:00,,,,1,۴ فروردین,عیدنوروز
1991-04-07 00:00:00,,,,0,۷ آوریل,روز جهانی بهداشت
1991-04-07 00:00:00,,,,1,۲۱ رمضان,شهادت حضرت علی علیه السلام
1991-04-02 00:00:00,,,,1,۱۳ فروردین,جشن سیزده به در
1991-04-08 00:00:00,,,,0,۱۹ فروردین,فروردین روز،جشن فروردینگان
1991-04-08 00:00:00,,,,0,۲۲ رمضان,شب قدر
1991-03-23 00:00:00,,,,1,۳ فروردین,عیدنوروز
1991-03-22 00:00:00,,,,1,۲ فروردین,عیدنوروز
1991-04-05 00:00:00,,,,0,۱۹ رمضان,ضربت خوردن حضرت علی علیه السلام
1991-03-21 00:00:00,,,,1,۱ فروردین,جشن نوروز/جشن سال نو
1991-03-27 00:00:00,,,,0,۲۷ مارس,روز جهانی تئاتر
1991-04-01 00:00:00,,,,0,۱۵ رمضان,ولادت امام حسن مجتبی علیه السلام
1991-04-01 00:00:00,,,,1,۱۲ فروردین,روز جمهوری اسلامی ایران
1991-04-06 00:00:00,,,,0,۱۷ فروردین,سروش روز،جشن سروشگان
1991-04-04 00:00:00,,,,0,۱۸ رمضان,شب قدر
1991-04-14 00:00:00,,,,0,۲۵ فروردین,روز بزرگداشت عطار نیشابوری
1991-04-16 00:00:00,,,,1,۱ شوال,عید سعید فطر
1991-04-18 00:00:00,,,,0,۲۹ فروردین,روز ارتش جمهوری اسلامی ایران
1991-04-17 00:00:00,,,,1,۲ شوال,تعطیل به مناسبت عید سعید فطر
1991-04-24 00:00:00,,,,0,۴ اردیبهشت,آغاز به کار نخستین فرستنده عمومی رادیویی در ایران به نام «رادیو تهران»
1991-04-23 00:00:00,,,,0,۳ اردیبهشت,روزبزرگداشت شیخ بهایی؛ روزملی کارآفرینی
1991-04-21 00:00:00,,,,0,۱ اردیبهشت,روز بزرگداشت سعدی
1991-04-22 00:00:00,,,,0,۲۲ آوریل,جشن گیاه آوری؛روز زمین پاک
1991-04-29 00:00:00,,,,0,۹ اردیبهشت,روزشوراها
1991-04-29 00:00:00,,,,0,۹ اردیبهشت,روز جهانی روانشناس و مشاور
1991-04-30 00:00:00,,,,0,۱۰ اردیبهشت,جشن چهلم نوروز؛ روزملی خلیج فارس
